


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 26

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
128                     2.20              1.25              3.94        1000              2.16              2.40              3.14
256                     2.27              1.22              3.87        1000              2.24              2.43              2.72
512                     2.55              1.54              4.24        1000              2.50              2.70              3.82
1024                    3.28              1.91              5.17        1000              3.24              3.53              4.86
2048                    4.49              2.62              6.85        1000              4.46              4.71              5.36
4096                    6.41              2.93              9.92        1000              6.36              6.81             10.85
8192                    9.87              5.19             14.80        1000              9.85             10.25             12.46
16384                  19.72              9.81             30.72         100             19.26             22.43             26.55
32768                  36.49             18.10             55.49         100             36.94             40.26             45.26
65536                  66.07             32.43             97.99         100             66.60             72.17             76.75
131072                127.78             61.46            185.81         100            128.06            133.37            138.47
262144                242.62            120.00            342.40         100            243.39            251.39            253.83
524288                486.08            241.51            693.55         100            486.09            502.25            507.23
1048576               495.81            449.05            541.67         100            488.61            525.00            535.83

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.04              0.57              2.06        1000              1.02              1.19              1.49
2                       1.09              0.64              2.16        1000              1.00              1.16              1.36
4                       1.05              0.58              2.10        1000              1.02              1.18              1.90
8                       1.04              0.58              2.06        1000              1.01              1.16              1.58
16                      1.01              0.52              2.05        1000              1.01              1.16              1.33
32                      1.41              0.72              2.75        1000              1.37              1.65              2.41
64                      1.37              0.67              2.51        1000              1.35              1.52              1.71
128                     2.21              1.30              3.82        1000              2.17              2.41              3.19
256                     2.31              1.27              3.88        1000              2.27              2.46              3.57
512                     2.56              1.54              4.22        1000              2.52              2.71              3.38
1024                    3.33              1.98              5.25        1000              3.28              3.54              5.29
2048                    4.63              2.83              7.08        1000              4.60              4.85              5.47
4096                    6.50              2.91             10.19        1000              6.43              6.92              9.82
8192                   10.21              5.84             15.34        1000             10.17             10.57             14.66
16384                  19.97             10.63             30.39         100             19.67             23.71             25.18
32768                  34.81             18.20             52.26         100             34.28             38.60             39.60
65536                  64.09             31.61             96.62         100             63.77             69.47             71.79
