
Algorithm: 1

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
64                      0.62              0.30              1.45        1000              0.58              0.80              0.91
128                     0.90              0.39              2.32        1000              0.87              1.06              2.18
256                     0.90              0.39              2.32        1000              0.88              1.04              1.21
512                     0.99              0.40              2.66        1000              0.94              1.12              1.37
1024                    1.09              0.40              3.08        1000              1.07              1.26              1.40
2048                    1.42              0.46              4.04        1000              1.40              1.57              1.81
4096                    1.98              0.58              5.37        1000              1.95              2.20              2.35
8192                    3.19              0.84              8.34        1000              3.11              3.57              4.67
16384                   6.42              2.18             14.08         100              6.28              7.07              9.09
32768                  11.86              4.13             24.32         100             11.70             13.00             14.62
65536                  22.44              8.13             43.86         100             22.09             25.50             30.11
131072                 41.79             15.56             81.43         100             41.41             45.02             46.08
262144                 64.73             24.29            100.76         100             64.33             67.79             69.98
524288                143.18             47.71            240.33         100            142.22            147.58            150.55
1048576               316.59            108.09            547.91         100            315.88            320.75            322.88

Test: 5
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.59              0.34              1.27        1000              0.56              0.76              0.86
2                       0.58              0.33              1.26        1000              0.55              0.78              0.94
4                       0.58              0.32              1.28        1000              0.55              0.75              0.91
8                       0.58              0.32              1.30        1000              0.55              0.75              0.91
16                      0.57              0.32              1.23        1000              0.53              0.72              0.92
32                      0.64              0.30              1.61        1000              0.62              0.87              1.02
64                      0.60              0.30              1.44        1000              0.56              0.76              0.91
128                     0.86              0.38              2.23        1000              0.83              1.04              1.28
256                     0.88              0.39              2.27        1000              0.85              1.04              1.18
512                     0.94              0.39              2.53        1000              0.92              1.10              1.22
1024                    1.06              0.39              3.02        1000              1.04              1.21              1.40
2048                    1.41              0.48              4.01        1000              1.38              1.55              1.82
4096                    1.95              0.57              5.28        1000              1.92              2.16              2.35
8192                    3.16              0.86              8.17        1000              3.09              3.53              4.24
16384                   6.24              2.16             13.84         100              6.17              6.82              8.55
32768                  12.07              4.28             24.27         100             11.92             13.48             15.89
65536                  22.67              8.31             43.80         100             22.40             24.80             27.35
131072                 41.53             15.61             79.86         100             41.37             43.84             45.23
262144                 63.34             23.68             98.25         100             62.65             67.25             71.59
524288                141.72             46.47            238.09         100            141.05            145.05            147.15
1048576               318.86            108.90            551.15         100            317.96            323.24            326.63

Procs: 6

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.71              0.28              1.72        1000              0.68              0.96              1.11
2                       0.70              0.27              1.71        1000              0.68              0.94              1.06
4                       0.69              0.28              1.73        1000              0.65              0.92              1.11
8                       0.68              0.27              1.70        1000              0.66              0.92              1.07
16                      0.66              0.26              1.68        1000              0.63              0.89              1.00
32                      0.70              0.26              1.88        1000              0.68              0.93              1.08
64                      0.68              0.25              1.76        1000              0.66              0.90              1.05
128                     0.93              0.33              2.73        1000              0.88              1.27              1.84
256                     0.95              0.31              2.87        1000              0.92              1.17              1.34
512                     0.98              0.32              2.98        1000              0.94              1.22              1.66
1024                    1.08              0.34              3.61        1000              1.05              1.28              1.89
2048                    1.35              0.45              4.79        1000              1.32              1.54              2.13
4096                    1.84              0.61              6.60        1000              1.80              2.08              2.73
8192                    2.87              0.88             10.36        1000              2.83              3.16              3.63
16384                   5.94              2.31             18.34         100              5.72              7.38             11.56
32768                  10.94              4.47             31.71         100             10.78             12.49             14.02
65536                  20.23              8.79             55.99         100             20.02             21.65             23.13
131072                 37.19             15.86            105.85         100             36.93             38.79             40.55
262144                101.68             26.68            169.11         100            101.09            105.82            107.71
524288                240.90             55.62            426.13         100            239.96            244.10            245.45
1048576               561.71            127.11           1020.66         100            557.99            575.44            576.72

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.76              0.29              1.83        1000              0.76              1.02              1.17
2                       0.75              0.28              1.83        1000              0.72              1.00              1.21
4                       0.70              0.26              1.75        1000              0.68              0.98              1.17
8                       0.71              0.25              1.82        1000              0.65              0.96              1.18
16                      0.67              0.23              1.71        1000              0.64              0.91              1.05
32                      0.70              0.25              1.92        1000              0.68              0.92              1.08
64                      0.68              0.24              1.81        1000              0.66              0.91              1.07
128                     0.94              0.30              2.79        1000              0.89              1.37              1.99
256                     0.93              0.29              2.81        1000              0.90              1.16              1.47
512                     0.96              0.31              3.02        1000              0.92              1.19              1.75
1024                    1.06              0.32              3.60        1000              1.03              1.24              1.88
2048                    1.31              0.44              4.75        1000              1.29              1.49              2.24
4096                    1.80              0.58              6.57        1000              1.78              2.13              2.67
8192                    2.83              0.82             10.26        1000              2.81              3.15              3.55
16384                   5.84              2.21             18.11         100              5.62              7.10              9.82
32768                  10.83              4.36             31.18         100             10.66             11.77             14.39
65536                  20.19              8.41             55.91         100             19.93             21.80             22.47
131072                 37.07             15.79            105.26         100             36.82             39.47             41.03
262144                 97.77             26.19            163.33         100             97.04            101.99            104.34
524288                232.66             55.18            410.25         100            231.68            236.29            237.32
1048576               543.58            121.25            991.50         100            543.33            547.01            548.55

Test: 3
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.64              0.20              1.70        1000              0.61              0.85              0.94
