
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 8
Mapping: core
Warmup: 200
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
128                     2.19              0.69              2.66       20000              2.14              2.67              3.04
256                     3.22              1.27              3.82       20000              3.20              3.53              3.78
512                     3.38              1.30              3.98       20000              3.35              3.70              3.98
1024                    3.79              1.33              4.53       20000              3.74              4.21              4.66
2048                    4.79              1.46              5.87       20000              4.73              5.36              5.79
4096                    6.48              2.83              7.60       20000              6.45              6.88              7.24
8192                    9.02              3.74             10.47       20000              9.00              9.58             10.87
16384                  14.30              5.94             16.66       20000             14.28             14.85             17.09
32768                  24.98             12.52             29.05       20000             24.85             25.62             28.13
65536                  44.90             22.46             53.55       20000             44.74             46.52             48.70
131072                 86.41             47.31            101.46       20000             85.98             89.79             91.44
262144                169.73             95.96            202.45       20000            169.52            173.70            175.42
524288                440.61            295.83            546.01       20000            439.52            452.29            454.38
1048576               819.52            590.15           1018.01       20000            817.52            831.61            834.59

Iterations: 50000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       4.65              0.27              8.78       50000              4.44              4.90              5.52
2                       1.62              0.57              2.04       50000              1.58              1.91              2.31
4                       1.63              0.58              2.04       50000              1.59              1.91              2.31
8                       1.61              0.57              2.02       50000              1.58              1.89              2.28
16                      1.62              0.58              2.04       50000              1.58              1.91              2.29
32                      1.61              0.58              2.03       50000              1.58              1.91              2.32
64                      2.42              0.74              3.02       50000              2.29              3.27              3.75
128                     2.23              0.70              2.75       50000              2.18              2.66              3.07
256                     3.32              1.29              3.94       50000              3.30              3.64              3.93
512                     3.45              1.30              4.05       50000              3.41              3.74              3.98
1024                    3.88              1.35              4.66       50000              3.82              4.38              4.79
2048                    4.76              1.49              5.63       50000              4.72              5.19              5.61
4096                    6.54              2.86              7.66       50000              6.51              6.95              7.30
8192                    9.07              3.83             10.54       50000              9.03              9.59             10.98
16384                  14.48              6.14             17.04       50000             14.39             14.97             17.52
32768                  25.47             12.30             30.89       50000             25.39             26.33             28.91
65536                  45.46             22.10             55.19       50000             45.29             47.13             49.34
131072                 87.16             46.50            104.92       50000             86.84             90.63             92.25
262144                170.30             93.05            205.05       50000            170.02            174.16            175.74
524288                442.68            311.77            544.18       50000            439.99            461.69            464.22
1048576               847.66            600.50           1029.69       50000            845.87            886.34            890.34

Iterations: 100000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       4.50              0.26              8.56      100000              4.35              4.78              5.79
2                       1.63              0.58              2.04      100000              1.59              1.89              2.20
4                       1.64              0.58              2.05      100000              1.60              1.93              2.25
8                       1.63              0.58              2.05      100000              1.59              1.90              2.22
