
Algorithm: 0

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                     1.35              0.38              2.46        1000              1.32              1.53              1.72
512                     1.47              0.37              2.71        1000              1.43              1.68              1.86
1024                    1.62              0.39              3.03        1000              1.58              1.86              2.07
2048                    2.18              0.55              3.97        1000              2.14              2.41              2.59
4096                    4.00              0.60              6.23        1000              3.97              4.39              4.64
8192                    6.01              0.85              9.52        1000              5.97              6.32              6.69
16384                  11.32              1.92             17.39         100              9.90             16.42             25.53
32768                  17.08              3.46             25.31         100             16.82             18.37             22.97
65536                  17.69              6.50             30.79         100             17.56             18.25             19.90
131072                 54.44             12.51            134.86         100             54.16             57.54             59.02
262144                 63.64             24.21             98.17         100             62.56             66.26             85.53
524288                460.52             64.61            741.19         100            458.45            477.14            488.29
1048576               320.67            108.90            554.41         100            319.81            324.41            329.25

Procs: 6

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.86              0.20              1.71        1000              0.84              0.99              1.09
2                       0.87              0.19              1.74        1000              0.85              1.00              1.09
4                       0.89              0.19              1.80        1000              0.86              1.00              1.11
8                       0.88              0.19              1.76        1000              0.85              0.98              1.13
16                      0.86              0.19              1.73        1000              0.84              0.98              1.08
32                      1.03              0.21              2.16        1000              0.99              1.23              1.45
64                      0.95              0.21              1.98        1000              0.94              1.11              1.20
128                     1.34              0.32              2.80        1000              1.29              1.48              2.22
256                     1.35              0.31              2.82        1000              1.32              1.50              1.73
512                     1.50              0.30              3.20        1000              1.46              1.68              2.53
1024                    1.68              0.31              3.65        1000              1.65              1.87              2.69
2048                    2.30              0.47              4.83        1000              2.28              2.50              3.06
4096                    6.23              0.43             10.52        1000              6.20              6.66              7.97
8192                    9.67              0.71             16.57        1000              9.61             10.21             11.66
16384                  16.71              1.75             27.83         100             15.57             20.65             25.46
32768                  27.26              3.20             44.27         100             26.93             29.58             36.22
65536                  16.97              6.42             35.35         100             16.63             19.17             21.82
131072                 47.29             11.44            152.01         100             46.97             49.41             52.57
262144                101.63             26.43            168.93         100            100.90            106.40            107.43
524288                435.45             71.56            839.46         100            435.38            439.00            443.18
1048576               567.60            125.89           1028.54         100            563.45            582.08            584.63

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.03              0.31              2.07        1000              0.97              1.15              1.24
2                       0.97              0.30              1.92        1000              0.95              1.12              1.21
4                       0.99              0.31              1.99        1000              0.95              1.12              1.25
8                       0.96              0.30              1.91        1000              0.94              1.11              1.20
16                      0.97              0.30              1.94        1000              0.93              1.10              2.21
32                      1.11              0.31              2.29        1000              1.08              1.33              1.46
64                      1.04              0.27              2.12        1000              1.02              1.19              1.29
128                     1.40              0.35              2.88        1000              1.34              1.59              2.74
256                     1.40              0.36              2.85        1000              1.38              1.57              1.71
512                     1.56              0.36              3.28        1000              1.53              1.72              2.02
1024                    1.76              0.37              3.75        1000              1.72              1.94              2.19
2048                    2.37              0.49              4.95        1000              2.33              2.57              4.49
4096                    6.24              0.43             10.53        1000              6.17              6.71              8.66
8192                    9.58              0.71             16.35        1000              9.53             10.02             11.97
16384                  16.78              1.79             27.78         100             15.68             20.35             30.59
32768                  27.55              3.25             44.60         100             27.16             30.77             35.44
65536                  16.70              6.40             34.97         100             16.44             18.11             22.23
131072                 46.60             10.65            149.49         100             46.22             48.09             54.60
262144                100.57             25.62            169.60         100             99.43            104.60            112.49
524288                429.82             66.38            823.86         100            429.69            433.06            439.18
1048576               529.97            117.21            973.12         100            529.61            532.65            536.25

Test: 3
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.98              0.28              1.93        1000              0.95              1.10              1.23
2                       0.97              0.28              1.90        1000              0.95              1.09              1.19
4                       0.97              0.27              1.91        1000              0.93              1.09              1.32
8                       0.93              0.26              1.85        1000              0.91              1.07              1.15
16                      0.92              0.25              1.79        1000              0.90              1.04              1.11
32                      1.08              0.26              2.24        1000              1.03              1.26              1.51
64                      1.04              0.25              2.08        1000              1.00              1.20              1.33
128                     1.37              0.34              2.78        1000              1.31              1.55              2.34
256                     1.39              0.35              2.83        1000              1.35              1.53              2.24
512                     1.53              0.34              3.21        1000              1.49              1.69              2.50
1024                    1.72              0.36              3.65        1000              1.68              1.89              2.61
2048                    2.32              0.50              4.82        1000              2.29              2.52              3.16
4096                    6.21              0.43             10.46        1000              6.19              6.69              7.25
8192                    9.67              0.75             16.45        1000              9.63             10.11             11.48
16384                  16.73              1.79             27.64         100             15.61             20.59             29.33
32768                  27.33              3.40             44.08         100             26.84             30.51             35.99
65536                  16.86              6.57             35.20         100             16.45             18.66             23.08
131072                 46.77             10.97            147.83         100             46.37             48.56             51.58
262144                 96.25             25.60            159.81         100             95.71            100.37            101.38
524288                427.11             67.36            820.62         100            426.60            431.59            439.62
1048576               529.46            122.80            969.88         100            529.36            531.64            534.22

Test: 4
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.87              0.26              1.71        1000              0.85              1.00              1.09
2                       0.87              0.26              1.69        1000              0.85              1.01              1.10
4                       0.89              0.26              1.76        1000              0.85              1.02              1.14
8                       0.92              0.32              1.79        1000              0.84              1.01              1.10
16                      0.86              0.25              1.67        1000              0.84              0.99              1.11
32                      1.06              0.25              2.19        1000              1.03              1.29              1.43
64                      0.98              0.25              2.07        1000              0.93              1.11              1.22
128                     1.32              0.34              2.73        1000              1.28              1.48              2.33
256                     1.39              0.35              2.83        1000              1.35              1.55              3.02
512                     1.51              0.34              3.20        1000              1.47              1.66              3.05
1024                    1.71              0.37              3.65        1000              1.67              1.89              2.86
2048                    2.33              0.48              4.87        1000              2.29              2.54              3.79
