
Algorithm: 5

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
16384                   9.35              6.82             11.75         100              8.92             11.60             13.43
32768                  15.08             10.46             19.26         100             14.51             18.76             19.96
65536                  21.75             15.00             27.62         100             21.30             24.84             26.50
131072                 36.84             27.23             45.46         100             36.96             41.66             43.71
262144                 68.46             52.14             83.10         100             68.86             73.32             75.78
524288                123.39             95.55            148.85         100            121.70            134.05            135.25
1048576               256.59            212.33            300.99         100            256.21            265.48            267.71

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.61              0.39              0.83        1000              0.62              0.74              0.80
2                       0.63              0.40              0.85        1000              0.61              0.71              0.79
4                       0.65              0.40              0.88        1000              0.61              0.75              0.81
8                       0.62              0.38              0.85        1000              0.61              0.72              0.76
16                      0.61              0.39              0.82        1000              0.60              0.74              0.78
32                      0.80              0.45              1.04        1000              0.74              1.12              1.19
64                      0.75              0.43              0.98        1000              0.72              1.04              1.15
128                     1.17              0.77              1.44        1000              1.13              1.39              1.61
256                     1.21              0.78              1.50        1000              1.18              1.40              1.54
512                     1.35              0.81              1.75        1000              1.31              1.59              1.75
1024                    1.63              0.98              2.10        1000              1.59              1.83              2.06
2048                    2.53              1.62              3.21        1000              2.53              2.80              3.01
4096                    3.29              2.08              4.23        1000              3.26              3.56              3.84
8192                    5.33              3.45              6.96        1000              5.30              5.59              5.77
16384                   9.32              6.76             11.74         100              9.08             11.56             12.81
32768                  15.12             10.68             19.17         100             14.54             18.14             19.95
65536                  23.74             17.38             29.49         100             24.00             26.86             27.73
131072                 38.60             29.05             47.18         100             38.33             43.34             44.86
262144                 69.75             53.84             84.18         100             70.01             75.49             79.53
524288                129.05            101.34            154.43         100            128.46            146.58            149.65
1048576               269.85            224.82            314.64         100            270.65            281.45            290.11

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.66              0.42              0.90        1000              0.66              0.78              0.82
2                       0.67              0.44              0.91        1000              0.66              0.81              0.90
4                       0.66              0.42              0.90        1000              0.65              0.78              0.84
8                       0.66              0.43              0.89        1000              0.65              0.81              0.86
16                      0.64              0.40              0.87        1000              0.63              0.76              0.82
32                      0.88              0.51              1.15        1000              0.79              1.20              1.38
64                      0.90              0.55              1.18        1000              0.85              1.16              1.25
128                     1.19              0.78              1.46        1000              1.15              1.34              1.54
256                     1.23              0.80              1.51        1000              1.20              1.42              1.59
512                     1.40              0.84              1.79        1000              1.34              1.63              1.81
1024                    1.65              0.95              2.14        1000              1.61              1.92              2.26
2048                    2.56              1.62              3.25        1000              2.55              2.84              3.01
4096                    3.50              2.18              4.49        1000              3.48              3.83              4.04
8192                    5.41              3.48              6.90        1000              5.40              5.74              5.98
16384                  10.17              7.31             12.84         100             10.00             12.24             14.59
32768                  15.71             10.90             19.98         100             15.60             18.01             19.93
65536                  23.25             16.16             29.30         100             23.69             25.52             25.96
131072                 39.56             29.01             48.61         100             39.53             42.49             46.29
262144                 70.31             52.47             85.51         100             70.12             73.32             74.95
524288                131.77            101.00            158.82         100            133.74            139.13            140.86
1048576               245.81            187.94            296.41         100            244.29            268.02            274.25

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.57              0.35              0.79        1000              0.57              0.68              0.75
2                       0.57              0.35              0.78        1000              0.57              0.72              0.81
4                       0.56              0.34              0.77        1000              0.57              0.70              0.73
8                       0.57              0.35              0.77        1000              0.57              0.72              0.77
16                      0.56              0.34              0.77        1000              0.57              0.71              0.76
32                      0.77              0.44              1.03        1000              0.71              1.09              1.22
64                      0.77              0.43              1.03        1000              0.69              1.08              1.14
128                     1.13              0.73              1.40        1000              1.08              1.33              1.48
256                     1.16              0.75              1.45        1000              1.12              1.36              1.48
512                     1.30              0.79              1.66        1000              1.26              1.54              1.68
1024                    1.58              0.95              2.03        1000              1.55              1.87              2.10
2048                    2.53              1.65              3.19        1000              2.52              2.85              3.04
4096                    3.25              2.06              4.17        1000              3.27              3.54              3.67
8192                    5.45              3.47              7.10        1000              5.43              5.73              6.01
16384                   9.33              6.67             11.77         100              8.89             11.57             17.52
32768                  15.77             11.56             19.70         100             15.06             18.49             20.91
65536                  22.53             16.60             28.01         100             22.07             27.09             27.59
131072                 38.32             29.09             46.68         100             37.90             43.71             46.98
262144                 67.10             51.19             81.26         100             66.45             74.49             75.15
524288                123.88             96.96            148.60         100            124.66            133.80            137.72
1048576               267.48            222.91            312.02         100            267.40            281.30            283.84

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.54              0.31              0.76        1000              0.58              0.69              0.75
2                       0.57              0.34              0.79        1000              0.59              0.72              0.79
4                       0.57              0.34              0.78        1000              0.59              0.70              0.77
8                       0.60              0.36              0.83        1000              0.59              0.72              0.78
16                      0.56              0.34              0.78        1000              0.58              0.70              0.76
32                      0.87              0.53              1.14        1000              0.79              1.19              1.38
64                      0.81              0.46              1.08        1000              0.72              1.12              1.23
128                     1.12              0.73              1.39        1000              1.10              1.28              1.52
256                     1.16              0.75              1.43        1000              1.12              1.39              1.52
512                     1.33              0.81              1.73        1000              1.29              1.58              1.70
1024                    1.61              0.97              2.08        1000              1.57              1.88              2.00
2048                    2.54              1.64              3.22        1000              2.53              2.82              2.94
4096                    3.49              2.19              4.44        1000              3.48              3.84              4.03
8192                    5.21              3.29              6.89        1000              5.19              5.51              5.70
16384                   9.43              6.83             11.79         100              8.89             12.39             16.78
32768                  15.72             11.24             19.85         100             15.31             18.89             19.42
65536                  23.59             17.10             29.42         100             22.89             27.94             28.16
131072                 39.72             30.30             48.38         100             39.97             44.06             47.54
262144                 71.84             55.50             86.65         100             72.24             76.35             77.32
524288                131.91            103.58            158.33         100            131.97            141.21            142.93
1048576               281.18            235.09            327.25         100            283.04            291.61            297.35

Procs: 6

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.92              0.43              1.29        1000              0.90              1.04              1.11
2                       0.99              0.53              1.31        1000              0.90              1.04              1.12
4                       0.93              0.42              1.31        1000              0.90              1.05              1.18
8                       0.93              0.43              1.29        1000              0.90              1.04              1.14
16                      0.97              0.44              1.40        1000              0.93              1.08              1.17
32                      1.13              0.47              1.59        1000              1.08              1.39              1.67
64                      1.11              0.43              1.55        1000              1.06              1.28              1.50
128                     1.61              0.80              2.18        1000              1.58              1.80              1.93
256                     1.67              0.81              2.24        1000              1.62              1.84              2.01
512                     1.82              0.86              2.45        1000              1.78              2.03              2.21
1024                    2.15              1.02              2.75        1000              2.11              2.42              2.70
2048                    3.20              1.67              3.79        1000              3.18              3.49              3.75
4096                    4.19              2.10              5.11        1000              4.17              4.52              4.73
8192                    6.44              3.43              7.77        1000              6.41              6.72              6.95
16384                  11.57              7.52             13.18         100             11.49             13.61             15.72
32768                  18.01             12.13             19.82         100             18.02             19.66             23.23
65536                  30.70             21.46             33.45         100             30.66             32.76             33.56
131072                 56.56             40.26             61.71         100             56.40             59.99             61.98
262144                107.57             77.55            116.64         100            107.70            111.84            113.08
524288                207.13            150.23            222.57         100            207.56            214.63            217.55
1048576               386.53            274.38            415.50         100            387.05            396.96            401.11

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.98              0.41              1.39        1000              0.90              1.02              1.21
2                       0.93              0.42              1.29        1000              0.90              1.06              1.13
4                       0.93              0.42              1.27        1000              0.90              1.07              1.26
8                       0.92              0.41              1.27        1000              0.89              1.08              1.24
16                      0.94              0.42              1.30        1000              0.89              1.03              1.11
32                      1.14              0.46              1.56        1000              1.07              1.44              1.71
64                      1.12              0.45              1.55        1000              1.07              1.38              1.59
128                     1.60              0.79              2.15        1000              1.57              1.79              1.97
256                     1.66              0.81              2.24        1000              1.62              1.84              2.00
512                     1.81              0.83              2.44        1000              1.76              2.01              2.35
1024                    2.15              0.99              2.76        1000              2.10              2.38              2.92
2048                    3.21              1.66              3.84        1000              3.20              3.52              3.77
4096                    4.31              2.21              5.16        1000              4.32              4.69              4.94
8192                    6.69              3.52              8.20        1000              6.66              6.97              7.23
16384                  11.63              7.70             13.20         100             11.25             13.72             19.90
32768                  18.20             12.34             20.56         100             17.96             21.69             22.42
65536                  30.26             20.92             33.88         100             29.98             33.66             35.49
131072                 54.70             38.58             60.78         100             54.42             57.78             59.83
262144                103.13             73.78            113.77         100            102.96            106.03            107.60
524288                198.97            143.07            217.30         100            198.51            204.01            207.88
1048576               373.40            263.56            408.12         100            372.32            382.53            387.68

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.91              0.43              1.28        1000              0.90              1.04              1.14
2                       0.93              0.44              1.31        1000              0.91              1.07              1.14
4                       0.92              0.44              1.28        1000              0.90              1.05              1.21
8                       0.94              0.45              1.32        1000              0.89              1.04              1.18
16                      0.91              0.43              1.29        1000              0.88              1.04              1.14
32                      1.13              0.47              1.55        1000              1.08              1.50              1.73
64                      1.10              0.46              1.53        1000              1.07              1.45              1.62
128                     1.62              0.82              2.15        1000              1.56              1.78              1.94
256                     1.63              0.81              2.18        1000              1.59              1.85              1.94
512                     1.80              0.86              2.40        1000              1.75              1.99              2.25
1024                    2.14              1.01              2.75        1000              2.10              2.39              2.61
2048                    3.17              1.65              3.82        1000              3.15              3.43              3.62
4096                    4.12              2.09              4.96        1000              4.11              4.40              4.59
8192                    6.66              3.50              8.20        1000              6.64              6.98              7.21
16384                  11.99              7.87             13.77         100             11.68             14.46             17.38
32768                  17.90             11.94             20.05         100             17.60             19.74             23.88
65536                  30.17             20.63             33.39         100             29.98             31.67             32.43
131072                 56.60             39.78             62.73         100             56.51             58.98             63.58
262144                105.02             74.62            115.76         100            104.91            108.67            111.82
524288                203.05            145.49            221.54         100            202.97            210.69            213.52
1048576               380.81            267.59            415.46         100            380.08            392.34            395.48

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.85              0.38              1.22        1000              0.84              0.96              1.03
2                       0.90              0.38              1.24        1000              0.85              0.98              1.08
4                       0.86              0.38              1.24        1000              0.84              0.98              1.05
8                       0.87              0.40              1.25        1000              0.84              1.02              1.13
16                      0.88              0.41              1.24        1000              0.84              0.98              1.04
32                      1.08              0.43              1.51        1000              1.03              1.37              1.51
64                      1.06              0.43              1.48        1000              1.02              1.24              1.42
128                     1.57              0.77              2.13        1000              1.52              1.76              1.93
256                     1.60              0.79              2.16        1000              1.56              1.77              1.97
512                     1.77              0.84              2.39        1000              1.73              1.97              2.14
1024                    2.12              0.99              2.73        1000              2.06              2.37              2.83
2048                    3.21              1.66              3.85        1000              3.19              3.47              3.74
4096                    4.11              2.08              4.97        1000              4.07              4.43              4.66
8192                    6.45              3.38              8.01        1000              6.42              6.76              7.09
16384                  11.71              7.78             13.37         100             11.48             15.25             17.18
32768                  18.19             12.32             20.43         100             18.11             20.30             21.47
65536                  30.79             21.29             34.51         100             30.48             33.77             36.15
131072                 55.74             39.17             62.44         100             55.83             57.97             61.43
262144                104.94             75.11            116.30         100            105.04            108.86            112.52
524288                203.86            146.83            224.27         100            204.40            210.04            212.09
1048576               382.73            271.68            421.03         100            381.86            394.78            399.42

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.84              0.36              1.20        1000              0.82              0.95              1.03
2                       0.84              0.36              1.19        1000              0.82              0.96              1.04
4                       0.86              0.37              1.24        1000              0.83              0.97              1.05
8                       0.84              0.36              1.20        1000              0.82              0.97              1.12
16                      0.86              0.37              1.22        1000              0.83              0.97              1.05
32                      1.07              0.42              1.49        1000              1.01              1.35              1.51
64                      1.05              0.39              1.50        1000              1.01              1.28              1.37
128                     1.54              0.74              2.12        1000              1.50              1.73              1.90
256                     1.60              0.77              2.18        1000              1.55              1.79              2.03
512                     1.80              0.84              2.43        1000              1.75              2.02              2.18
1024                    2.10              0.97              2.71        1000              2.05              2.33              2.56
2048                    3.20              1.64              3.83        1000              3.18              3.50              3.75
4096                    4.10              2.06              4.98        1000              4.10              4.44              4.66
8192                    6.66              3.46              8.19        1000              6.62              6.96              7.30
16384                  11.91              7.74             13.55         100             11.62             14.05             16.02
32768                  18.44             12.25             20.56         100             18.36             20.13             20.93
65536                  30.65             20.76             34.16         100             30.53             32.67             35.41
131072                 53.96             36.56             60.57         100             54.12             56.91             59.18
262144                104.91             72.11            116.28         100            103.71            108.79            110.44
524288                205.94            144.05            228.63         100            206.05            212.74            214.51
1048576               379.92            263.17            418.21         100            379.42            388.17            393.64

Procs: 8

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.02              0.49              1.33        1000              0.99              1.13              1.25
2                       1.01              0.48              1.33        1000              0.98              1.18              1.37
4                       0.99              0.49              1.26        1000              0.97              1.10              1.26
8                       1.00              0.51              1.32        1000              0.96              1.14              1.24
16                      1.00              0.49              1.28        1000              0.98              1.12              1.21
32                      1.40              0.58              2.08        1000              1.30              2.18              2.37
