Operation: bcast  , Node: THIN


--------------------------------------------
Algorithm: 0
--------------------------------------------


**Mapping: core**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
128                     2.61              1.47              3.67       10000              2.58              2.88              3.07
256                     2.66              1.48              3.76       10000              2.65              2.96              3.15
512                     2.83              1.57              3.98       10000              2.82              3.14              3.36
1024                    3.50              2.03              5.03       10000              3.36              3.79              4.03
2048                    4.72              2.45              6.78       10000              4.55              4.89              5.17
4096                    6.22              4.08              8.25       10000              6.18              6.49              6.78
8192                    9.15              6.08             12.24       10000              9.12              9.52             10.68
16384                  23.54              9.68             35.83       10000             23.44             25.47             27.07
32768                  39.22             15.68             59.09       10000             39.13             42.01             43.44
65536                  72.50             27.30            109.14       10000             72.26             76.28             78.45
131072                138.71             51.11            208.70       10000            138.31            143.15            146.27
262144                280.92             96.73            406.66       10000            280.60            289.83            294.95
524288                559.86            195.23            862.76       10000            558.97            576.54            584.54
1048576               636.96            606.04            688.11       10000            633.18            691.98            698.72


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.30              0.95              1.74       30000              1.30              1.62              1.77
2                       1.33              0.99              1.83       30000              1.32              1.65              1.82
4                       1.33              0.98              1.80       30000              1.31              1.64              1.80
8                       1.32              0.98              1.80       30000              1.30              1.63              1.80
16                      1.41              1.11              1.87       30000              1.32              1.66              1.82
32                      1.53              1.06              2.12       30000              1.49              1.96              2.24
64                      1.51              1.03              2.08       30000              1.49              1.88              2.16
128                     2.58              1.38              3.67       30000              2.57              2.86              3.05
256                     2.65              1.42              3.78       30000              2.64              2.95              3.14
512                     2.81              1.48              4.02       30000              2.79              3.12              3.32
1024                    3.36              1.74              4.81       30000              3.33              3.74              3.96
2048                    4.57              2.21              6.65       30000              4.54              4.85              5.07
4096                    6.25              4.20              8.23       30000              6.21              6.51              6.85
8192                    9.37              6.18             12.40       30000              9.31              9.67             11.26
16384                  23.40              9.72             34.29       30000             23.30             25.49             26.92
32768                  39.66             16.05             58.27       30000             39.59             42.74             44.45
65536                  74.14             29.01            109.27       30000             73.90             79.11             81.32
131072                144.97             53.05            223.95       30000            144.46            151.47            155.56
262144                291.71             99.79            461.92       30000            290.91            304.56            310.62
524288                563.48            199.50            854.81       30000            557.75            598.43            611.39
1048576               675.04            646.28            725.59       30000            672.86            710.75            715.50


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.28              0.93              1.70      100000              1.27              1.60              1.76
2                       1.31              0.95              1.76      100000              1.27              1.58              1.75
4                       1.29              0.94              1.71      100000              1.27              1.61              1.78
8                       1.28              0.92              1.71      100000              1.27              1.58              1.74
16                      1.31              0.95              1.73      100000              1.29              1.63              1.79
32                      1.51              1.03              2.10      100000              1.48              1.92              2.19
64                      1.50              1.02              2.06      100000              1.47              1.88              2.18
128                     2.58              1.37              3.67      100000              2.57              2.87              3.06
256                     2.66              1.42              3.77      100000              2.65              2.96              3.14
512                     2.84              1.52              4.04      100000              2.83              3.16              3.35
1024                    3.40              1.74              4.85      100000              3.36              3.80              4.04
2048                    4.43              2.23              6.40      100000              4.40              4.69              4.92
4096                    6.09              3.86              8.18      100000              6.06              6.34              6.61
8192                    9.04              5.69             12.19      100000              8.98              9.39             10.70
16384                  23.13              9.50             35.11      100000             23.02             25.05             26.25
32768                  40.07             15.69             62.38      100000             39.95             42.80             44.20
65536                  77.00             27.58            119.18      100000             76.74             80.88             83.34
131072                144.45             49.91            214.07      100000            144.11            149.78            152.53
262144                276.87             99.45            418.73      100000            275.83            287.83            292.60
524288                551.88            195.60            830.74      100000            551.49            574.73            581.20
1048576               701.96            680.05            749.52      100000            696.60            727.89            732.21


**Mapping: L3cache**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.13              0.62       10000              0.34              0.51              0.55
2                       0.37              0.12              0.61       10000              0.34              0.51              0.55
4                       0.38              0.13              0.62       10000              0.34              0.51              0.56
8                       0.37              0.12              0.62       10000              0.34              0.51              0.58
16                      0.37              0.13              0.62       10000              0.34              0.51              0.57
