
Operation: bcast
Node: EPYC

--------------------------------------------
Test: 1

Algorithm: 0
Procs: 16
Mapping: numa
Iterations: 100000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
128                     1.06              0.44              1.45      100000              1.05              1.15              1.25
256                     1.49              0.84              1.95      100000              1.46              1.76              1.95
512                     1.56              0.89              1.99      100000              1.55              1.77              1.88
1024                    1.85              0.99              2.39      100000              1.84              2.18              2.33
2048                    2.04              1.12              2.61      100000              2.01              2.39              2.62
4096                    2.96              1.89              3.56      100000              2.95              3.33              3.49
8192                    4.29              2.92              5.02      100000              4.26              4.62              4.95
16384                   7.21              5.38              8.22      100000              7.15              7.69              8.29
32768                  12.93             10.75             14.72      100000             12.84             13.58             16.12
65536                  23.18             20.09             26.03      100000             23.77             25.11             27.63
131072                 39.90             35.43             44.19      100000             39.62             42.42             44.26
262144                 77.72             69.88             85.45      100000             77.24             81.46             83.38
524288                165.14            164.35            165.80      100000            162.51            176.76            184.02
1048576               314.11            311.19            317.18      100000            312.35            334.14            347.34

Warmup: 2000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.80              0.23              1.16      100000              0.80              0.86              0.96
2                       0.90              0.37              1.27      100000              0.89              0.96              1.22
4                       0.91              0.37              1.28      100000              0.89              0.97              1.04
8                       0.90              0.37              1.27      100000              0.89              0.97              1.06
16                      0.91              0.37              1.28      100000              0.90              0.98              1.22
32                      0.90              0.37              1.28      100000              0.89              0.97              1.03
64                      1.06              0.43              1.48      100000              1.03              1.31              1.50
128                     1.06              0.44              1.48      100000              1.06              1.17              1.27
256                     1.51              0.85              2.01      100000              1.47              1.80              1.94
512                     1.58              0.91              2.01      100000              1.56              1.83              1.95
1024                    1.84              0.99              2.37      100000              1.81              2.14              2.30
2048                    2.00              1.08              2.57      100000              1.97              2.33              2.48
4096                    3.00              1.95              3.58      100000              3.00              3.37              3.56
8192                    4.31              2.96              5.04      100000              4.28              4.67              5.01
16384                   7.20              5.38              8.24      100000              7.14              7.71              8.30
32768                  12.95             10.76             14.69      100000             12.86             13.62             16.03
65536                  22.32             19.39             24.93      100000             21.74             24.85             27.06
131072                 39.67             35.32             43.65      100000             39.41             42.14             43.81
262144                 77.14             69.41             84.54      100000             76.69             80.93             82.91
524288                152.67            149.97            155.25      100000            150.77            160.93            166.64
1048576               283.96            283.53            284.27      100000            281.90            295.07            303.89

Warmup: 5000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.80              0.24              1.17      100000              0.79              0.87              0.96
2                       0.90              0.37              1.27      100000              0.89              0.96              1.21
4                       0.90              0.38              1.28      100000              0.89              0.96              1.09
8                       0.89              0.37              1.25      100000              0.88              0.95              1.00
16                      0.89              0.37              1.26      100000              0.89              0.96              1.05
32                      0.90              0.38              1.27      100000              0.88              0.97              1.03
64                      1.09              0.45              1.53      100000              1.06              1.32              1.58
128                     1.07              0.44              1.50      100000              1.07              1.17              1.29
256                     1.49              0.86              1.96      100000              1.47              1.74              1.85
512                     1.57              0.93              2.00      100000              1.53              1.87              1.98
1024                    1.83              1.01              2.33      100000              1.79              2.17              2.38
2048                    2.01              1.09              2.58      100000              1.98              2.34              2.53
4096                    3.00              1.94              3.58      100000              2.99              3.37              3.57
8192                    4.31              2.95              5.06      100000              4.27              4.69              5.01
16384                   7.19              5.39              8.22      100000              7.14              7.64              8.27
32768                  12.89             10.72             14.69      100000             12.80             13.56             16.09
65536                  22.42             19.45             25.04      100000             22.96             24.90             27.18
131072                 39.78             35.33             43.92      100000             39.48             42.34             44.11
262144                 77.30             69.62             84.60      100000             76.85             80.99             82.97
524288                163.76            162.86            164.53      100000            161.49            174.98            182.16
1048576               289.94            289.36            290.40      100000            288.03            303.99            315.77


--------------------------------------------
Test: 3

Algorithm: 1
Procs: 128
Mapping: numa
Iterations: 50000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      15.56              0.78             31.16       50000             15.33             16.60             19.20
2                      16.11              0.69             32.04       50000             15.92             17.60             19.46
4                      15.87              0.72             31.87       50000             15.77             17.47             19.26
8                      16.24              0.69             32.34       50000             16.05             17.73             19.64
16                     16.10              0.74             32.44       50000             15.93             17.84             19.68
32                     17.28              0.75             33.73       50000             17.17             18.83             20.95
64                     16.80              0.76             33.45       50000             16.56             18.67             20.33
128                    48.32              0.89             96.01       50000             48.13             52.46             54.48
256                    48.99              0.96             97.04       50000             48.77             52.80             54.98
512                    49.89              0.91             98.96       50000             49.73             53.40             55.59
1024                   53.98              3.71            103.93       50000             51.01             56.86             59.59
