
Operation: bcast
Node: EPYC

--------------------------------------------
Test: 1

Algorithm: 1
Procs: 64
Mapping: core
Iterations: 50000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      12.48              0.55             26.16       50000             12.27             14.01             15.56
2                      13.15              0.63             27.93       50000             12.89             15.36             16.91
4                      13.44              0.64             28.85       50000             13.31             15.23             16.50
8                      13.28              0.61             28.28       50000             13.16             15.25             16.55
16                     13.54              0.60             29.28       50000             13.35             15.14             16.61
32                     14.09              0.65             29.23       50000             13.64             16.61             17.76
64                     14.15              0.68             30.05       50000             13.89             16.00             17.17
128                    32.41              0.78             66.90       50000             32.27             35.16             37.25
256                    33.44              0.84             68.59       50000             32.60             36.95             38.83
512                    34.57              0.94             70.08       50000             34.40             36.57             38.93
1024                   35.98              0.95             73.14       50000             35.65             38.89             41.34
2048                   55.94              1.18            113.80       50000             55.67             58.59             60.99
4096                   74.32              1.61            150.90       50000             74.40             78.17             80.68
8192                  117.00              2.56            237.46       50000            116.52            121.04            123.43
16384                 173.12              9.79            255.62       50000            172.57            184.84            191.99
32768                 326.73             11.69            449.67       50000            327.09            345.69            354.29
65536                 701.11             22.84            864.30       50000            701.39            728.08            739.44
131072               1460.95             91.58           1664.59       50000           1461.62           1509.47           1528.51
262144               2966.00           1009.65           3180.91       50000           2967.61           3055.55           3092.06
524288               5979.41           3983.80           6271.48       50000           5957.56           6333.64           6580.63
1048576             11780.11           9838.38          12175.22       50000          11763.67          12261.78          12505.70

Warmup: 2000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      12.62              0.52             26.51       50000             12.46             13.83             15.51
2                      13.00              0.57             27.36       50000             12.77             14.95             16.20
4                      12.96              0.58             27.40       50000             12.84             14.50             15.68
8                      12.98              0.55             27.39       50000             12.80             14.77             16.15
16                     12.92              0.60             27.50       50000             12.72             14.73             16.06
32                     14.01              0.64             29.03       50000             13.59             16.32             17.47
64                     13.34              0.68             28.31       50000             13.20             14.74             16.28
128                    32.52              0.91             66.96       50000             32.08             35.25             37.39
256                    33.35              0.89             68.54       50000             33.23             36.86             38.63
512                    33.75              0.88             69.19       50000             33.55             35.94             38.23
1024                   35.73              0.94             72.76       50000             35.46             38.74             41.11
2048                   55.93              1.15            113.83       50000             55.69             58.75             60.91
4096                   74.09              1.57            150.39       50000             73.92             77.98             80.37
8192                  116.68              2.53            237.04       50000            116.41            120.92            123.32
16384                 155.47              6.72            242.51       50000            156.00            166.47            173.31
32768                 304.72             10.46            431.96       50000            304.20            320.09            329.32
65536                 707.37             32.26            867.67       50000            706.66            738.26            750.52
131072               1465.51            360.76           1657.58       50000           1465.85           1511.14           1530.62
262144               2960.02           1677.93           3163.40       50000           2960.44           3105.28           3156.74
524288               6036.57           4730.35           6334.23       50000           6018.64           6321.31           6594.37
