Operation: bcast  , Node: THIN


--------------------------------------------
Algorithm: 0
--------------------------------------------


**Mapping: core**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
64                      1.48              1.10              1.96       10000              1.46              1.89              2.17
128                     2.49              1.37              3.50       10000              2.48              2.84              3.06
256                     2.58              1.43              3.64       10000              2.57              2.95              3.13
512                     2.79              1.54              3.97       10000              2.78              3.13              3.34
1024                    3.44              1.96              4.91       10000              3.33              3.78              4.12
2048                    4.48              2.20              6.50       10000              4.39              4.76              5.51
4096                    5.91              3.56              7.98       10000              5.77              6.19              6.55
8192                    9.19              6.12             11.82       10000              9.15              9.65             10.50
16384                  22.24              8.82             34.03       10000             22.16             24.85             26.20
32768                  37.57             15.82             55.20       10000             37.53             41.83             43.72
65536                  71.05             27.43            106.72       10000             71.00             76.38             78.88
131072                136.11             51.25            204.26       10000            135.75            143.86            148.50
262144                267.25             98.29            395.37       10000            266.70            277.69            283.54
524288                544.15            193.84            862.45       10000            546.12            563.26            571.58
1048576               685.54            647.25            718.67       10000            668.54            725.40            731.15


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.23              0.91              1.58       30000              1.22              1.62              1.84
2                       1.26              0.92              1.69       30000              1.25              1.61              1.82
4                       1.27              0.94              1.69       30000              1.26              1.64              1.84
8                       1.25              0.92              1.67       30000              1.24              1.60              1.80
16                      1.28              0.95              1.70       30000              1.26              1.65              1.86
32                      1.53              1.08              2.14       30000              1.47              1.99              2.30
64                      1.48              1.04              2.02       30000              1.45              1.89              2.15
128                     2.45              1.32              3.46       30000              2.44              2.80              2.99
256                     2.55              1.39              3.60       30000              2.54              2.91              3.12
512                     2.72              1.45              3.86       30000              2.70              3.07              3.28
1024                    3.32              1.69              4.77       30000              3.30              3.70              3.92
2048                    4.34              2.08              6.31       30000              4.31              4.65              4.87
4096                    6.02              4.05              7.98       30000              5.99              6.32              6.63
8192                    9.23              6.08             12.28       30000              9.20              9.65             10.84
16384                  22.06              9.12             33.26       30000             21.98             24.52             25.97
32768                  37.67             15.37             55.20       30000             37.61             41.60             43.33
65536                  72.38             27.98            104.36       30000             72.23             77.48             79.99
131072                138.11             50.45            199.92       30000            137.82            144.78            148.42
262144                269.70             96.94            406.65       30000            269.34            285.54            291.48
524288                504.07            191.89            752.34       30000            503.11            526.10            536.36
1048576               681.57            666.19            701.01       30000            676.14            711.47            717.31


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.29              1.00              1.74      100000              1.28              1.64              1.86
2                       1.30              0.99              1.74      100000              1.27              1.62              1.85
4                       1.29              0.99              1.72      100000              1.27              1.64              1.87
8                       1.28              0.97              1.71      100000              1.26              1.62              1.82
16                      1.29              0.99              1.71      100000              1.28              1.64              1.86
32                      1.52              1.10              2.12      100000              1.48              1.95              2.25
64                      1.51              1.09              2.09      100000              1.48              1.93              2.26
128                     2.49              1.38              3.56      100000              2.48              2.83              3.01
256                     2.57              1.42              3.64      100000              2.56              2.92              3.11
512                     2.76              1.52              3.95      100000              2.75              3.10              3.30
1024                    3.42              1.80              4.94      100000              3.39              3.84              4.10
2048                    4.23              2.17              6.11      100000              4.20              4.56              4.80
4096                    5.98              3.80              8.02      100000              5.94              6.27              6.55
8192                    8.84              5.49             12.01      100000              8.76              9.23             10.35
16384                  22.28              9.16             33.77      100000             22.18             24.81             26.19
32768                  39.21             15.73             58.26      100000             39.19             42.93             44.67
65536                  71.74             28.04            106.23      100000             71.58             76.57             79.07
131072                138.16             52.84            213.80      100000            137.89            145.58            149.51
262144                256.06             95.15            369.76      100000            256.31            275.68            282.45
524288                500.73            193.38            720.38      100000            502.87            527.66            537.46
1048576               698.11            681.95            734.08      100000            698.09            722.99            728.68


**Mapping: L3cache**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.40              0.15              0.66       10000              0.37              0.53              0.63
2                       0.40              0.15              0.66       10000              0.37              0.53              0.60
4                       0.39              0.15              0.64       10000              0.36              0.52              0.60
8                       0.38              0.13              0.63       10000              0.35              0.51              0.57
16                      0.37              0.13              0.61       10000              0.33              0.50              0.59
32                      0.49              0.12              0.86       10000              0.41              0.75              0.87
64                      0.47              0.13              0.81       10000              0.41              0.71              0.80
128                     0.74              0.26              1.22       10000              0.73              0.90              0.99
256                     0.78              0.29              1.27       10000              0.75              1.05              1.15
512                     0.84              0.27              1.41       10000              0.82              1.05              1.24
1024                    1.03              0.45              1.60       10000              1.00              1.30              1.43
2048                    1.27              0.43              2.10       10000              1.25              1.52              1.65
4096                    1.95              1.02              2.88       10000              1.91              2.39              2.69
8192                    3.13              1.78              4.48       10000              3.11              3.44              3.70
16384                   3.16              3.01              3.31       10000              3.10              3.69              3.87
32768                   5.19              4.96              5.42       10000              5.10              5.73              6.04
65536                   6.55              6.31              6.79       10000              6.45              7.09              7.39
131072                  9.81              9.50             10.12       10000              9.57             10.25             11.96
262144                 14.72             14.46             14.97       10000             14.64             15.27             18.24
524288                 26.38             26.14             26.62       10000             26.25             27.00             30.50
1048576                57.34             57.20             57.48       10000             57.01             61.33             62.63


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.38              0.13              0.63       30000              0.35              0.49              0.55
2                       0.37              0.13              0.61       30000              0.34              0.48              0.55
4                       0.35              0.11              0.59       30000              0.32              0.46              0.54
8                       0.35              0.11              0.59       30000              0.32              0.45              0.56
16                      0.34              0.11              0.57       30000              0.32              0.45              0.51
32                      0.50              0.13              0.88       30000              0.43              0.82              0.91
64                      0.44              0.11              0.77       30000              0.40              0.56              0.67
128                     0.73              0.25              1.20       30000              0.70              0.92              1.03
256                     0.75              0.25              1.24       30000              0.74              0.93              1.04
512                     0.84              0.29              1.40       30000              0.82              1.10              1.25
1024                    0.95              0.39              1.51       30000              0.94              1.14              1.25
2048                    1.28              0.43              2.13       30000              1.23              1.58              1.75
4096                    2.17              1.39              2.96       30000              2.14              2.52              2.73
8192                    3.32              2.32              4.32       30000              3.30              3.71              3.99
16384                   3.38              3.23              3.53       30000              3.27              3.97              4.28
32768                   5.33              5.09              5.57       30000              5.25              5.84              6.15
65536                   6.61              6.37              6.85       30000              6.50              7.20              7.58
131072                  9.21              8.96              9.45       30000              9.13              9.76             10.56
262144                 14.10             13.85             14.35       30000             14.03             14.78             16.94
524288                 26.40             26.16             26.63       30000             26.27             27.40             29.90
1048576                57.25             57.11             57.40       30000             56.97             60.52             61.74


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.13              0.62      100000              0.35              0.52              0.60
2                       0.35              0.11              0.59      100000              0.32              0.48              0.57
4                       0.35              0.11              0.58      100000              0.32              0.48              0.55
8                       0.36              0.11              0.60      100000              0.32              0.48              0.55
16                      0.36              0.12              0.61      100000              0.32              0.48              0.60
32                      0.49              0.12              0.87      100000              0.41              0.75              0.88
64                      0.46              0.12              0.80      100000              0.41              0.59              0.70
128                     0.73              0.25              1.21      100000              0.71              0.91              1.01
256                     0.77              0.27              1.27      100000              0.75              0.96              1.07
512                     0.84              0.29              1.40      100000              0.82              1.08              1.37
1024                    0.98              0.42              1.54      100000              0.97              1.18              1.32
2048                    1.27              0.45              2.09      100000              1.24              1.56              1.72
4096                    2.14              1.39              2.90      100000              2.13              2.51              2.68
8192                    3.37              2.33              4.41      100000              3.35              3.70              3.98
16384                   3.22              3.07              3.38      100000              3.11              3.86              4.18
32768                   5.25              5.01              5.49      100000              5.18              5.78              6.16
65536                   6.58              6.34              6.82      100000              6.49              7.14              7.48
131072                  9.00              8.76              9.24      100000              8.86              9.78             10.55
262144                 13.87             13.61             14.12      100000             13.79             14.62             17.24
524288                 25.27             25.03             25.50      100000             24.95             26.93             29.45
1048576                54.45             54.33             54.57      100000             54.09             58.29             59.99


Procs: 4


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.53              0.32              0.74       10000              0.54              0.66              0.73
2                       0.53              0.31              0.73       10000              0.54              0.66              0.74
4                       0.51              0.30              0.70       10000              0.52              0.65              0.74
8                       0.51              0.30              0.70       10000              0.52              0.64              0.71
16                      0.48              0.28              0.68       10000              0.51              0.64              0.73
32                      0.72              0.43              0.96       10000              0.65              1.09              1.36
64                      0.72              0.43              0.96       10000              0.65              1.03              1.12
128                     1.06              0.69              1.33       10000              1.03              1.32              1.47
256                     1.11              0.71              1.39       10000              1.07              1.36              1.51
512                     1.28              0.79              1.65       10000              1.25              1.55              1.73
1024                    1.52              0.94              1.95       10000              1.50              1.79              1.98
2048                    2.22              1.44              2.83       10000              2.20              2.52              2.70
4096                    3.17              2.04              4.05       10000              3.15              3.56              3.79
8192                    5.75              4.83              7.80       10000              5.71              6.15              6.44
16384                   7.85              6.29              9.19       10000              7.50             10.23             11.34
32768                  11.88             10.69             12.99       10000             11.63             15.39             17.02
65536                  18.84             17.14             20.41       10000             18.91             24.46             27.12
131072                 34.29             31.80             36.68       10000             33.40             45.49             52.02
262144                 65.95             61.61             69.87       10000             62.48             92.59            102.72
524288                138.37            130.48            144.59       10000            133.61            186.02            200.10
1048576               468.26            198.56            613.16       10000            468.07            473.39            476.99


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.55              0.32              0.77       30000              0.55              0.66              0.73
2                       0.53              0.31              0.74       30000              0.53              0.65              0.72
4                       0.53              0.30              0.74       30000              0.53              0.65              0.71
8                       0.52              0.31              0.74       30000              0.53              0.65              0.70
16                      0.52              0.30              0.74       30000              0.53              0.66              0.72
32                      0.77              0.45              1.03       30000              0.74              1.07              1.24
64                      0.78              0.46              1.04       30000              0.76              1.06              1.14
128                     1.08              0.68              1.38       30000              1.03              1.28              1.41
256                     1.11              0.71              1.38       30000              1.08              1.34              1.47
512                     1.27              0.80              1.62       30000              1.24              1.52              1.66
1024                    1.54              0.95              1.96       30000              1.51              1.78              1.96
2048                    2.31              1.52              2.90       30000              2.28              2.63              2.78
4096                    3.32              2.22              4.14       30000              3.31              3.73              3.99
8192                    5.78              4.73              7.66       30000              5.74              6.24              6.57
16384                   8.33              7.41              9.34       30000              8.16             10.83             12.06
