
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 0
Procs: 2
Mapping: socket
Iterations: 20000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1048576               320.93            290.10            351.77       10000            320.55            331.37            336.47

Warmup: 2000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.42              0.41              0.43       10000              0.44              0.58              0.66
2                       0.38              0.38              0.40       10000              0.42              0.56              0.59
4                       0.38              0.38              0.39       10000              0.41              0.55              0.58
8                       0.37              0.37              0.39       10000              0.41              0.53              0.57
16                      0.38              0.38              0.39       10000              0.42              0.53              0.58
32                      0.60              0.50              0.74       10000              0.57              0.98              1.23
64                      0.57              0.47              0.72       10000              0.59              0.87              0.97
128                     1.11              0.92              1.49       10000              1.09              1.30              1.43
256                     1.16              0.99              1.52       10000              1.13              1.39              1.54
512                     1.36              1.09              1.80       10000              1.33              1.62              1.79
1024                    1.66              1.40              2.18       10000              1.63              1.95              2.15
2048                    2.53              2.24              3.36       10000              2.50              2.84              3.02
4096                    3.63              3.12              4.79       10000              3.63              3.94              4.16
8192                    5.71              4.93              7.52       10000              5.71              6.08              6.32
16384                   8.66              7.50              9.68       10000              8.57             10.83             12.05
32768                  13.82             11.75             15.27       10000             13.61             16.94             18.72
65536                  22.73             21.21             24.40       10000             22.68             28.25             31.13
131072                 41.21             38.91             43.87       10000             38.73             53.51             57.51
262144                 84.37             79.65             89.24       10000             84.77            103.58            107.65
524288                161.39            152.27            170.44       10000            162.25            170.23            173.82
1048576               330.47            300.54            360.43       10000            329.57            341.36            347.11

Warmup: 5000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.33              0.31              0.34       10000              0.25              0.57              0.66
2                       0.34              0.32              0.35       10000              0.25              0.56              0.59
4                       0.37              0.36              0.37       10000              0.39              0.55              0.59
8                       0.35              0.34              0.36       10000              0.28              0.56              0.60
16                      0.35              0.33              0.36       10000              0.30              0.57              0.61
32                      0.62              0.52              0.73       10000              0.56              1.05              1.27
64                      0.58              0.49              0.70       10000              0.57              0.93              1.00
128                     1.10              0.92              1.46       10000              1.07              1.31              1.45
256                     1.15              0.97              1.53       10000              1.12              1.36              1.52
512                     1.33              1.07              1.80       10000              1.31              1.56              1.71
1024                    1.65              1.37              2.22       10000              1.63              1.94              2.16
2048                    2.49              2.19              3.35       10000              2.48              2.78              2.94
4096                    3.57              3.09              4.76       10000              3.54              3.89              4.14
8192                    5.72              4.79              7.45       10000              5.72              6.06              6.29
16384                   9.10              8.12             10.04       10000              9.05             11.25             12.28
32768                  14.33             13.25             15.47       10000             14.27             17.41             19.01
65536                  22.87             21.16             24.56       10000             22.85             28.10             30.94
131072                 40.03             36.00             43.15       10000             38.44             52.02             57.15
262144                 89.41             86.60             93.13       10000             89.44            108.80            114.47
524288                163.34            150.00            174.45       10000            163.11            171.31            175.09
1048576               342.72            316.88            368.52       10000            342.33            352.91            358.12


--------------------------------------------
Test: 3

Algorithm: 3
Procs: 24
Mapping: L3cache
Iterations: 20000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       7.15              0.28             13.43       20000              6.81              7.25              9.08
2                       6.93              0.29             12.92       20000              6.85              7.21              8.64
4                       6.87              0.28             12.82       20000              6.82              7.18              8.49
8                       6.86              0.29             12.82       20000              6.81              7.19              8.47
16                      6.83              0.29             12.75       20000              6.78              7.15              8.22
32                     10.64              0.30             21.40       20000             10.52             12.29             13.23
64                      9.37              0.30             17.98       20000              9.28             10.05             11.33
128                    15.78              0.41             31.25       20000             15.73             16.56             17.52
256                    15.46              0.41             30.70       20000             15.38             16.28             17.61
512                    17.55              0.44             34.30       20000             17.23             18.09             20.02
1024                   20.67              0.61             40.29       20000             20.58             21.95             23.39
2048                   26.35              0.75             51.40       20000             26.28             27.79             29.62
4096                   35.53              1.59             68.34       20000             35.30             37.20             39.40
8192                   52.19              2.45            100.60       20000             52.04             54.35             56.57
16384                 104.26              7.42            191.18       20000            103.99            106.47            108.07
32768                 169.52             11.42            309.81       20000            169.58            173.27            174.97
65536                 282.78             20.27            512.86       20000            281.61            289.11            292.20
131072                514.44             36.97            941.66       20000            513.15            522.75            526.46
262144                981.64             70.28           1814.74       20000            989.20            999.53           1004.01
524288               1873.33            134.09           3420.25       20000           1868.93           1891.63           1898.02
1048576              3652.18            271.34           6662.03       20000           3655.70           3689.10           3704.23

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       7.12              0.27             13.49       20000              6.71              7.21              9.25
2                       6.82              0.27             12.78       20000              6.70              7.04              8.35
4                       6.75              0.26             12.68       20000              6.71              7.02              7.99
8                       6.76              0.26             12.72       20000              6.69              7.03              8.29
16                      6.75              0.27             12.66       20000              6.70              7.07              8.49
32                     10.57              0.28             21.47       20000             10.47             12.28             13.17
64                      9.28              0.28             17.90       20000              9.22             10.02             11.02
128                    15.68              0.37             31.13       20000             15.62             16.42             17.31
256                    15.39              0.40             30.45       20000             15.33             16.18             17.44
512                    17.44              0.41             34.22       20000             17.19             18.14             19.91
1024                   20.63              0.61             40.29       20000             20.50             21.87             23.27
2048                   26.25              0.73             51.32       20000             26.20             27.61             29.46
4096                   35.54              1.58             68.52       20000             35.26             37.37             39.26
8192                   53.23              2.56            102.74       20000             52.44             54.78             57.22
16384                 102.71              7.32            188.14       20000            102.54            105.00            106.80
32768                 165.88             11.38            303.37       20000            165.48            169.91            177.65
65536                 274.74             20.14            501.12       20000            273.53            284.62            290.02
131072                511.47             36.92            931.26       20000            509.33            525.25            533.10
