
Algorithm: 3

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
128                     2.09              0.42              3.46        1000              2.02              2.31              2.55
256                     2.08              0.40              3.48        1000              2.03              2.30              2.56
512                     2.40              0.39              4.08        1000              2.35              2.68              3.06
1024                    2.77              0.57              4.56        1000              2.73              3.04              3.22
2048                    3.68              0.56              6.27        1000              3.62              3.96              6.04
4096                    5.13              1.14              8.36        1000              5.07              5.49              6.32
8192                    8.32              1.97             13.54        1000              8.28              8.65             11.23
16384                  16.68              7.68             21.86         100             16.32             18.08             23.02
32768                  28.30             13.11             36.89         100             27.72             29.52             39.78
65536                  43.94             19.95             57.27         100             43.67             45.89             50.40
131072                 77.43             35.48            100.14         100             77.09             81.14             83.17
262144                143.53             64.97            185.09         100            143.10            148.26            149.55
524288                268.40            116.91            347.85         100            267.49            274.99            275.57
1048576               525.84            228.67            681.34         100            526.17            530.44            533.08

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.18              0.29              1.77        1000              1.15              1.34              1.45
2                       1.18              0.30              1.73        1000              1.14              1.31              1.50
4                       1.19              0.28              1.76        1000              1.12              1.29              2.28
8                       1.09              0.26              1.62        1000              1.08              1.22              1.30
16                      1.08              0.25              1.61        1000              1.04              1.18              1.36
32                      1.36              0.25              2.24        1000              1.28              1.73              2.12
64                      1.28              0.23              2.09        1000              1.24              1.54              1.66
128                     2.05              0.39              3.43        1000              2.00              2.29              2.44
256                     2.07              0.38              3.43        1000              2.04              2.31              2.48
512                     2.34              0.39              4.01        1000              2.29              2.59              2.87
1024                    2.72              0.56              4.49        1000              2.68              3.00              3.39
2048                    3.75              0.59              6.29        1000              3.71              4.06              5.24
4096                    5.08              1.22              8.28        1000              5.00              5.47              7.68
8192                    8.39              1.95             13.63        1000              8.36              8.74             10.89
16384                  16.48              7.35             21.67         100             16.13             17.87             22.09
32768                  27.78             12.57             36.35         100             27.54             28.51             33.29
65536                  44.22             19.98             57.51         100             43.99             46.74             50.45
131072                 77.10             35.32             99.32         100             76.75             80.52             82.13
262144                142.10             65.07            182.32         100            141.43            146.92            147.65
