Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
3,40,512,29.070000000000004,0.09979979959899693
3,40,1024,34.446,0.07338937252763478
3,40,2048,45.044000000000004,0.035721142198983674
3,40,4096,62.763999999999996,0.8534026013553044
3,40,8192,93.768,0.6941138235188795
3,40,16384,165.13399999999996,0.16966437457521633
3,40,32768,267.832,1.1985049019507612
3,40,65536,455.59,0.3478936619141043
3,40,131072,850.872,0.3508047890209088
3,40,262144,1618.8179999999998,1.0272020249201403
3,40,524288,3157.4199999999996,10.612093572900694
3,40,1048576,6384.862,10.230214758254188
3,42,1,12.712,0.03512833614050072
3,42,2,12.666,0.023366642891095878
3,42,4,12.708000000000002,0.05083306010855545
3,42,8,12.67,0.05941380311005199
3,42,16,12.624,0.026191601707417713
3,42,32,18.470000000000002,0.07739509028355741
3,42,64,17.078,0.04176122603564241
3,42,128,26.606000000000005,0.1328758819349846
3,42,256,26.962,0.14185908501044275
3,42,512,30.232000000000006,0.05209606511052451
3,42,1024,35.962,0.10692988356862648
3,42,2048,46.891999999999996,0.04983974317750838
3,42,4096,68.368,0.3409017453754073
3,42,8192,97.422,0.11123848254988108
3,42,16384,173.18800000000002,0.2507867620110724
3,42,32768,280.248,0.3994796615598894
3,42,65536,477.65600000000006,0.16809521111560888
3,42,131072,901.3699999999999,8.334517982463051
3,42,262144,1698.0739999999998,1.147068437365441
3,42,524288,3313.1399999999994,6.761336406362285
3,42,1048576,6720.661999999999,10.041336763598787
3,44,1,13.126,0.06054750201288231
3,44,2,13.193999999999999,0.044676615807377425
3,44,4,13.065999999999999,0.0314006369362151
3,44,8,13.032,0.03426368339802351
3,44,16,13.038,0.0342636833980238
3,44,32,18.9,0.03033150177620602
3,44,64,17.66,0.046043457732885526
3,44,128,27.828000000000003,0.06763135367564366
3,44,256,28.428000000000004,0.12772626981165588
3,44,512,31.592000000000002,0.052191953402799536
3,44,1024,37.76,0.11928956366757319
3,44,2048,50.032,0.7948043784479302
3,44,4096,70.46200000000002,1.0700906503656589
3,44,8192,102.244,0.13238579984273174
