


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Iter: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.15              0.09              0.20     1000000              0.15              0.16              0.17
2                       0.15              0.09              0.21     1000000              0.15              0.16              0.17
4                       0.14              0.09              0.20     1000000              0.14              0.16              0.16
8                       0.15              0.09              0.20     1000000              0.15              0.16              0.17
16                      0.15              0.09              0.20     1000000              0.15              0.16              0.17
32                      0.15              0.09              0.20     1000000              0.15              0.16              0.17
64                      0.15              0.09              0.20     1000000              0.15              0.16              0.17
128                     0.22              0.15              0.29     1000000              0.22              0.24              0.25
256                     0.22              0.15              0.29     1000000              0.22              0.24              0.26
512                     0.23              0.15              0.30     1000000              0.22              0.26              0.27
1024                    0.25              0.15              0.34     1000000              0.24              0.28              0.29
2048                    0.30              0.19              0.40     1000000              0.29              0.32              0.33
4096                    0.38              0.26              0.50     1000000              0.38              0.41              0.43
8192                    0.56              0.40              0.72     1000000              0.56              0.60              0.63
16384                   3.76              3.68              3.84     1000000              3.71              4.09              4.37
32768                   4.22              4.15              4.29     1000000              4.16              4.35              4.85
65536                   5.46              5.38              5.54     1000000              5.40              5.67              6.47
131072                  9.37              9.37              9.37     1000000              9.02              9.67             11.79
262144                 19.31             19.28             19.33     1000000             19.01             20.00             22.45
524288                 40.49             40.47             40.50     1000000             40.11             41.87             44.08
1048576                79.33             79.32             79.34     1000000             78.86             81.54             83.19


Procs: 4

Iter: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.40              0.38              0.46           1              0.40              0.40              0.40
2                       0.40              0.35              0.47           1              0.40              0.40              0.40
4                       0.40              0.36              0.46           1              0.40              0.40              0.40
8                       0.39              0.36              0.44           1              0.39              0.39              0.39
16                      0.47              0.36              0.69           1              0.47              0.47              0.47
32                      0.51              0.36              0.68           1              0.51              0.51              0.51
64                      0.40              0.36              0.45           1              0.40              0.40              0.40
128                     0.81              0.46              1.29           1              0.81              0.81              0.81
256                     0.67              0.50              0.79           1              0.67              0.67              0.67
512                     0.87              0.50              0.99           1              0.87              0.87              0.87
1024                    0.95              0.57              1.23           1              0.95              0.95              0.95
2048                    1.85              1.45              2.24           1              1.85              1.85              1.85
4096                    3.23              2.68              3.85           1              3.23              3.23              3.23
8192                    4.45              0.78              7.02           1              4.45              4.45              4.45
16384                   8.50              7.93              9.36           1              8.50              8.50              8.50
32768                  10.46              8.97             11.62           1             10.46             10.46             10.46
65536                  17.32             16.99             18.07           1             17.32             17.32             17.32
131072                 65.52             64.34             66.47           1             65.52             65.52             65.52
262144                 88.60             81.69             91.46           1             88.60             88.60             88.60
524288                187.99            186.06            189.97           1            187.99            187.99            187.99
1048576               409.27            233.93            489.82           1            409.27            409.27            409.27

Iter: 10
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.36              0.18              0.48          10              0.34              0.43              0.43
2                       0.35              0.14              0.44          10              0.34              0.41              0.41
4                       0.36              0.15              0.46          10              0.34              0.43              0.43
8                       0.35              0.16              0.44          10              0.33              0.43              0.43
16                      0.34              0.14              0.44          10              0.34              0.37              0.37
32                      0.37              0.13              0.49          10              0.36              0.43              0.43
64                      0.38              0.23              0.48          10              0.37              0.44              0.44
128                     0.64              0.47              0.84          10              0.60              0.76              0.76
256                     0.66              0.56              0.81          10              0.63              0.86              0.86
512                     0.73              0.55              0.91          10              0.72              0.81              0.81
1024                    0.83              0.61              1.08          10              0.83              0.90              0.90
2048                    1.39              1.13              1.87          10              1.37              1.52              1.52
4096                    2.21              1.80              2.90          10              2.18              2.37              2.37
8192                    3.92              0.94              5.43          10              3.92              4.08              4.08
16384                  11.02             10.06             12.14          10             10.67             15.12             15.12
32768                  13.62             12.51             14.85          10             12.61             21.76             21.76
65536                  21.25             18.23             23.58          10             21.83             22.78             22.78
131072                 45.58             37.45             49.44          10             48.18             52.59             52.59
262144                123.03            116.49            126.31          10            100.61            291.32            291.32
524288                254.04            246.83            259.23          10            243.97            291.65            291.65
1048576               472.41            213.74            615.17          10            454.71            619.72            619.72

Iter: 100
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.14              0.51         100              0.35              0.44              0.51
